"Search Criteria:"

"Lease Type: Both"
"Original Authority Date: 09/20/2017 to 09/20/2018"

"UIC No.","API No.",District,"Lease No.","Lease Name","Well No.","Field Name","Operator Name",County,Oil/Gas,"Formation Names"
000115650,41332976,7C,18021,"THORNBURG 27",8,"FORT MCKAVITT (LIME 4150)","BOAZ ENERGY II OPERATING, LLC",SCHLEICHER,Oil,STRAWN
000115651,40135393,6E,08774,MCBRIDE,1,"EAST TEXAS","MCBRIDE OPERATING LLC",RUSK,Oil,WOODBINE
000115652,01334675,01,15638,"MIDDLE MCCOWEN",37H,"EAGLEVILLE (EAGLE FORD-1)","MARATHON OIL EF LLC",ATASCOSA,Oil,"EAGLE FORD"
000115653,22531323,03,24853,SHELLY,202,"FORT TRINIDAD, EAST (BUDA)","PARDUS OIL & GAS OPERATING, LP",HOUSTON,Oil,BUDA/GEORGETOWN
000115654,18700289,01,00514,APPLING-RABB,1,DUNLAP,"TEXSTAR OIL & GAS, LLC",GUADALUPE,Oil,"AUSTIN CHALK, BUDA"
000115655,16534644,8A,67585,"SEMINOLE, NE (SAN ANDRES) UNIT",20,"SEMINOLE, NE. (SAN ANDRES)","DELTA C02, LLC",GAINES,Oil,"SAN ANDRES"
000115656,16536913,8A,67585,"SEMINOLE, NE (SAN ANDRES) UNIT",34,"SEMINOLE, NE. (SAN ANDRES)","DELTA C02, LLC",GAINES,Oil,"SAN ANDRES"
000115657,13139269,04,00425,"DUVAL COUNTY RANCH CO.",1RI,"CASA BLANCA","HINDS PETROLEUM, LLC",DUVAL,Oil,"COLE SAND"
000115658,13139268,04,00425,"DUVAL COUNTY RANCH CO.",62,"CASA BLANCA","HINDS PETROLEUM, LLC",DUVAL,Oil,"COLE SAND"
000115659,34900000,05,02811,"PUGH, L. W.",2SW,POWELL,"NAVAJO OIL AND GAS, LLC",NAVARRO,Oil,WOODBINE
000115660,15132852,7B,30243,HOSS,7,"KEELER-WIMBERLY (CANYON SD.)","LAINCO, INC.",FISHER,Oil,CANYON
000115661,46100000,7C,000000,,1,,,UPTON,,"SAN ANDRES/GLORIETA"
000115662,40933067,04,12594,"WELDER, MINNIE S.",103D,"PORTILLA (FRIO)","FROSTWOOD ENERGY, LLC","SAN PATRICIO",Oil,"CATAHOULA/ANAHUAC/GRETA/ FRIO"
000115663,07932133,8A,70616,"CR STARNES",1D,"PATIENCE & FAITH","ELEMENT PETROLEUM OP III, LLC",COCHRAN,Oil,DEVONIAN
000115664,41709111,7B,30140,"COOK 85-60 POOLED UNIT",78,"SHACKELFORD COUNTY REGULAR","STASNEY WELL SERVICE, LLC",SHACKELFORD,Oil,"BLUFF CREEK"
000115665,00347547,08,17503,"MEANS /SAN ANDRES/ UNIT",1612Z,MEANS,"XTO ENERGY INC.",ANDREWS,Oil,"GRAYBURG, SAN ANDRES"
000115666,48542712,09,05673,"MARRIOTT, J. H.",46,"WICHITA COUNTY REGULAR","S&G OIL LLC",WICHITA,Oil,700'
000115667,41535314,8A,03137,"SACROC UNIT",323-4B,KELLY-SNYDER,"KINDER MORGAN PRODUCTION CO LLC",SCURRY,Oil,"CISCO/CANYON REEF"
000115668,07132621,03,25918,"LONE STAR BRINE DISPOSAL",5,"BARBERS HILL","LONE STAR NGL MONT BELVIEU LP",CHAMBERS,Oil,FRIO
000115669,50136843,8A,000000,,1W,,,YOAKUM,,MISSISSIPPIAN/DEVONIAN
000115670,50136844,8A,000000,,2W,,,YOAKUM,,MISSISSIPPIAN/DEVONIAN
000115671,00347539,08,17503,"MEANS /SAN ANDRES/ UNIT",1514Z,MEANS,"XTO ENERGY INC.",ANDREWS,Oil,"GRAYBURG/SAN ANDRES"
000115672,10732093,8A,68090,PHIL,1237,"HOOPLE (CLEAR FORK)","HEXP OPERATING, LLC",CROSBY,Oil,GLORIETA
000115673,10732097,8A,68090,PHIL,1238,"HOOPLE (CLEAR FORK)","HEXP OPERATING, LLC",CROSBY,Oil,GLORIETA
000115674,10732116,8A,68090,PHIL,1258,"HOOPLE (CLEAR FORK)","HEXP OPERATING, LLC",CROSBY,Oil,GLORIETA
000115675,41535313,8A,03137,"SACROC UNIT",325-8,KELLY-SNYDER,"KINDER MORGAN PRODUCTION CO LLC",SCURRY,Oil,"CISCO/CANYON REEF"
000115679,49900696,06,15599,"GREEN, CARROLL",1,QUITMAN,"TTK ENERGY LLC",WOOD,Oil,WOODBINE
000115680,22703058,08,07099,"ZANT, H. N.",12,VEALMOOR,"SABALO OPERATING, LLC",HOWARD,Oil,PENNSYLVANIAN/CANYON
000115681,38339884,7C,000000,,1D,,,REAGAN,,"SAN ANDRES"
000115682,38339882,7C,000000,,1D,,,REAGAN,,"SAN ANDRES"
000115683,22739337,08,49260,GALVESTON,1,"SPRABERRY (TREND AREA)","HANNATHON PETROLEUM, LLC",HOWARD,Oil,"CLEAR FORK"
000115684,31741019,08,49286,"STANTON BRINE",1,"SPRABERRY (TREND AREA)","TALL CITY BRINE LLC",MARTIN,Oil,"RUSTLER SALT"
000115685,38936228,08,49287,"SOUTH PECOS BRINE",1,"WOLFBONE (TREND AREA)","TALL CITY BRINE LLC",REEVES,Oil,CASTILLE
000115686,22700000,08,000000,,3,,,HOWARD,,"SAN ANDRES"
000115687,43333935,7B,30910,"CORSICA UNIT",39,"CORSICA (BEND CONGLOMERATE)","MID-CON ENERGY OPERATING, LLC",STONEWALL,Oil,"BEND CONGLOMERATE"
000115688,50130175,8A,61879,"WBD SAN ANDRES UNIT",305D,"WBD (SAN ANDRES)","OSBORN HEIRS COMPANY",YOAKUM,Oil,"GLORIETA/CLEAR FORK/ TUBB/ABO/WOLFCAMP"
000115689,17337666,08,000000,,1D,,,GLASSCOCK,,"GRAYBURG, SAN ANDRES"
000115690,43133455,08,46024,"HUNTER TRUST  'A'",1,"SPRABERRY (TREND AREA)","ATOKA OPERATING PERMIAN, LLC",STERLING,Oil,"COLEMAN JUNCTION"
000115691,22739461,08,000000,,1,,,HOWARD,,ELLENBURGER
000115692,40933068,04,12594,"WELDER, MINNIE S.",104D,"PORTILLA (FRIO)","FROSTWOOD ENERGY, LLC","SAN PATRICIO",Oil,"CATAHOULA/ANAHUAC/GRETA/ FRIO"
000115693,49332724,01,18228,LYSSY-DEERING,1H,"MARCELINA CREEK (BUDA)","SEI OPERATING, LLC",WILSON,Oil,BUDA
000115694,42332330,06,000000,,1SW,,,SMITH,,"EAGLE FORD, WOODBINE, BUDA"
000115695,17337698,08,49822,"HANSON 45 SWD",1D,"SPRABERRY (TREND AREA)","PARSLEY ENERGY OPERATIONS, LLC",GLASSCOCK,Oil,"SAN ANDRES"
000115696,38936152,08,49528,"HORNS DOWN",1D,"PHANTOM (WOLFCAMP)","ENERGEN RESOURCES CORPORATION",REEVES,Oil,"DELAWARE MOUNTAIN GROUP"
000115697,38936005,08,000000,,1D,,,REEVES,,"CHERRY CANYON/BELL CANYON"
000115698,31331157,03,25339,"WILFRED DAINTY",4H,"MADISONVILLE, W. (WOODBINE -A-)","MD AMERICA ENERGY, LLC",MADISON,Oil,WOODBINE
000115699,08900057,03,24058,"CULLEN, H.R. ET AL",2,"COLUMBUS (CONSOLIDATED)","STRAND ENERGY, L.C.",COLORADO,Oil,YEGUA
000115700,46530861,01,02592,"WEST, MASSIE",21,"MASSIE WEST (PALUXY)","MWWD OPERATOR, LLC","VAL VERDE",Oil,PALUXY
000115701,46530862,01,02592,"WEST, MASSIE",22,"MASSIE WEST (PALUXY)","MWWD OPERATOR, LLC","VAL VERDE",Oil,PALUXY
000115702,46530863,01,02592,"WEST, MASSIE",23,"MASSIE WEST (PALUXY)","MWWD OPERATOR, LLC","VAL VERDE",Oil,PALUXY
000115703,46530864,01,02592,"WEST, MASSIE",24,"MASSIE WEST (PALUXY)","MWWD OPERATOR, LLC","VAL VERDE",Oil,PALUXY
000115704,46530865,01,02592,"WEST, MASSIE",25,"MASSIE WEST (PALUXY)","MWWD OPERATOR, LLC","VAL VERDE",Oil,PALUXY
000115717,22737790,08,46489,"MS. VEAL",6,VEALMOOR,"SABALO OPERATING, LLC",HOWARD,Oil,PENNSYLVANIAN/CANYON
000115718,38935762,08,49883,"RED BLUFF SWD",1,"SANDBAR (BONE SPRING)","NGL WATER SOLUTIONS PERMIAN, LLC",REEVES,Oil,"DELAWARE SANDS"
000115719,40932194,04,12594,"WELDER, MINNIE S.",74,"PORTILLA (FRIO)","FROSTWOOD ENERGY, LLC","SAN PATRICIO",Oil,FRIO
000115720,39131849,02,08950,"TOM O'CONNOR(5600 FOOT SAND)UNIT",3107WB,"TOM O'CONNOR (5600 FOOT SAND)","HILCORP ENERGY COMPANY",REFUGIO,Oil,FRIO
000115721,30131057,08,42292,"RIO PECOS",4701,"DIMMITT (DELAWARE CONS)","BOAZ ENERGY II OPERATING, LLC",LOVING,Oil,"DELAWARE/CHERRY CANYON"
000115722,18100261,09,12941,"HANDY UNIT",20,"HANDY, SE. (N SAND)","BLS PRODUCTION CO., INC.",GRAYSON,Oil,H-2/HANDY/H-3/N-SAND
000115723,41739610,7B,31907,"FRANK ANDREWS",3,"SHACKELFORD COUNTY REGULAR","PV OIL SERVICES, LLC",SHACKELFORD,Oil,TANNEHILL
000115724,17337697,08,000000,,1D,,,GLASSCOCK,,"SAN ANDRES"
000115725,38936162,08,49511,"APC 56-3-26",1D,"PHANTOM (WOLFCAMP)","APC WATER HOLDINGS 1, LLC",REEVES,Oil,"BELL CANYON, CHERRY CANYON, BRUSHY CANYON"
000115726,38936163,08,49511,"APC 56-3-26",2D,"PHANTOM (WOLFCAMP)","APC WATER HOLDINGS 1, LLC",REEVES,Oil,"BELL CANYON, CHERRY CANYON, BRUSHY CANYON"
000115727,49500000,08,000000,,201SD,,,WINKLER,,YATES/QUEEN
000115728,43300389,7B,04352,"BROOKRESON, D.J.",2,"KIOWA PEAK (STRAWN 2ND.)","STEPHENS & JOHNSON OPERATING CO.",STONEWALL,Oil,"STRAWN 2ND"
000115729,49500000,08,000000,,1,,,WINKLER,,"SAN ANDRES, HOLT"
000115730,23535963,7C,19859,KMSV,1,"SPRABERRY (TREND AREA)","TRACKER RESOURCE DEV III, LLC",IRION,Oil,ATOKA/ELLENBURGER
000115731,41535258,8A,03137,"SACROC UNIT",303-7A,KELLY-SNYDER,"KINDER MORGAN PRODUCTION CO LLC",SCURRY,Oil,"CISCO/CANYON REEF"
000115732,19933443,03,27203,ELLIOT,3R,"SILSBEE (W-3 YEGUA)","FOUNDATION ENERGY MANAGEMENT LLC",HARDIN,Oil,YEGUA
000115733,20132899,03,10496,"WEBSTER FIELD UNIT",6004,WEBSTER,"DENBURY ONSHORE, LLC",HARRIS,Oil,MIOCENE/FLEMING
000115734,46140646,7C,19933,"MORDOR 31",1D,"SPRABERRY (TREND AREA)","CROWNQUEST OPERATING, LLC",UPTON,Oil,SILURIAN/ELLENBURGER
000115740,31133987,01,14669,GUBBELS,36R,"SAN MIGUEL CREEK (WILCOX CONS.)","ENERQUEST OPERATING L.L.C.",MCMULLEN,Oil,WILCOX
000115741,17337678,08,49445,"WRAGE 28",3D,"AN ADKINS (ELLENBURGER)","CROWNQUEST OPERATING, LLC",GLASSCOCK,Oil,"SILURIAN, ELLENBURGER"
000115742,22739083,08,38167,"GUITAR 28",6,"SPRABERRY (TREND AREA)","SM ENERGY COMPANY",HOWARD,Oil,"FUSSELMAN, MONTOYA, ELLENBURGER"
000115743,38936260,08,50008,"ORLA 8 SWD",1,"SANDBAR (BONE SPRING)","NGL WATER SOLUTIONS PERMIAN, LLC",REEVES,Oil,"BELL CANYON/CHERRY CANYON/BRUSHY CANYON"
000115746,48781486,09,08614,"WAGGONER, W. T., EST. -A-",5,"PARADISE (CADDO)","COMSTOCK ENERGY, LLC",WILBARGER,Oil,CADDO
000115747,49533911,08,48276,"CLS WALTON",I136NW,KERMIT,"CHAMPION LONE STAR OPERATING,LLC",WINKLER,Oil,"YATES/COLBY/QUEEN/SEVEN RIVERS"
000115748,49533910,08,48276,"CLS WALTON",I236NW,KERMIT,"CHAMPION LONE STAR OPERATING,LLC",WINKLER,Oil,"YATES/COLBY/QUEEN/SEVEN RIVERS"
000115749,49533913,08,48276,"CLS WALTON",I119SW,KERMIT,"CHAMPION LONE STAR OPERATING,LLC",WINKLER,Oil,"YATES/COLBY/QUEEN/SEVEN RIVERS"
000115750,07130510,03,25515,"OYSTER BAYOU FIELD UNIT",1045,"OYSTER BAYOU","DENBURY ONSHORE, LLC",CHAMBERS,Oil,FRIO
000115751,13543540,08,02100,"GOLDSMITH, C. A., ETAL",465AW,"GOLDSMITH (CLEAR FORK)","XTO ENERGY INC.",ECTOR,Oil,"CLEAR FORK"
000115752,26932204,8A,67370,"NIBLO ""48""",3,"CROTON BREAKS (TANNEHILL)","POLK PETROLEUM, INC.",KING,Oil,TANNEHILL
000115753,43334150,7B,11863,"MCMILLIN (CANYON SAND) UNIT",406,"GUEST (CANYON SAND)","L.C.S. PRODUCTION COMPANY",STONEWALL,Oil,"CANYON SAND"
000115754,43334133,7B,11863,"MCMILLIN (CANYON SAND) UNIT",407,"GUEST (CANYON SAND)","L.C.S. PRODUCTION COMPANY",STONEWALL,Oil,"CANYON SAND"
000115755,13543538,08,02100,"GOLDSMITH, C. A., ETAL",533AW,"GOLDSMITH (CLEAR FORK)","XTO ENERGY INC.",ECTOR,Oil,"CLEAR FORK"
000115756,01335499,01,19147,"LAYLA SWD",1,"EAGLEVILLE (EAGLE FORD-1)","GOODNIGHT MIDSTREAM PERMIAN, LLC",ATASCOSA,Oil,"GLEN ROSE"
000115757,16934158,8A,61135,"BASINGER-LONG UNIT",13B,BUENOS,"BROWN, GEO. R PARTNERSHIP,LP,THE",GARZA,Oil,"SAN ANDRES"
000115758,16934157,8A,61135,"BASINGER-LONG UNIT",19L,BUENOS,"BROWN, GEO. R PARTNERSHIP,LP,THE",GARZA,Oil,"SAN ANDRES"
000115759,16934161,8A,61135,"BASINGER-LONG UNIT",18BA,BUENOS,"BROWN, GEO. R PARTNERSHIP,LP,THE",GARZA,Oil,"SAN ANDRES"
000115760,17337676,08,000000,,2D,,,GLASSCOCK,,"GLORIETA/SAN ANDRES"
000115761,38935926,08,49283,"APC 2-28",1D,"PHANTOM (WOLFCAMP)","DBM WATER SERVICES, LLC",REEVES,Oil,"BELL CANYON/CHERRY CANYON/BRUSHY CANYON"
000115762,39935292,7C,17769,HOPPE,1,"WFM (GOEN LIME)","ENRICH OIL CORPORATION",RUNNELS,Oil,GOEN
000115763,16538283,8A,69587,"RUSSELL CLEARFORK UNIT",637W,"RUSSELL (CLEARFORK CONSOLIDATED","XTO ENERGY INC.",GAINES,Oil,"CLEAR FORK"
000115764,40933008,04,13937,"WELDER EFH",2,"PLYMOUTH (6480)","WELDER EXPLORATION & PROD., INC.","SAN PATRICIO",Oil,"HEEP SAND, FRIO"
000115765,16538603,8A,69901,HOSKINS,1D,"TEX-MEX, SE. (WICHITA ALBANY)","SHERIDAN PRODUCTION COMPANY, LLC",GAINES,Oil,DEVONIAN
000115766,38336898,7C,17473,"UNIVERSITY 9-30",1D,"SPRABERRY (TREND AREA)","FDL OPERATING, LLC",REAGAN,Oil,"SAN ANDRES"
000115767,00943056,09,14612,"DAVIS, C. L.",9,"ARCHER COUNTY REGULAR","PRO. ENERGY I RESOURCE, LLC",ARCHER,Oil,GUNSIGHT
000115768,50135548,8A,000000,,1W,,,YOAKUM,,"SAN ANDRES/GLORIETA/CLEAR FORK/WICHITA/LEONARED, WOLFCAMP/PENNSYLVANIAN/STRAWN/MISSISSIPPIAN, DEVONIAN/DEVONIAN-SILURIAN/FUSSELMAN/ELLENBURGER"
000115769,41310439,7C,19114,"MCGREGOR UNIT",505,"FORT MCKAVITT (LIME 4150)","BOAZ ENERGY II OPERATING, LLC",SCHLEICHER,Oil,STRAWN
000115770,38936581,08,49539,"PIVOT 21602 34 SWD",1,"ORLA, SOUTHEAST (DELAWARE)","BTA OIL PRODUCERS, LLC",REEVES,Oil,DELAWARE
000115771,22739281,08,49502,HUGHES,1D,"RK (DEVONIAN)","ENERGEN RESOURCES CORPORATION",HOWARD,Oil,"DEVONIAN 3, MONTOYA, FUSSELMAN, ELLENBURGER, GRANITE WASH"
000115779,38936369,08,50373,"KING FISHER SWD SE",2,"WOLFBONE (TREND AREA)","ROSETTA RESOURCES OPERATING LP",REEVES,Oil,"BELL CANYON/CHERRY CANYON/DELAWARE"
000115780,41332436,7C,19114,"MCGREGOR UNIT",406,"FORT MCKAVITT (LIME 4150)","BOAZ ENERGY II OPERATING, LLC",SCHLEICHER,Oil,STRAWN
000115781,38936368,08,50307,"KING FISHER SWD NE",1,"WOLFBONE (TREND AREA)","ROSETTA RESOURCES OPERATING LP",REEVES,Oil,"BELL CANYON/CHERRY CANYON/DELAWARE"
000115782,31331333,03,26879,"IRON DUKE",1H,"FORT TRINIDAD, EAST (BUDA)","ETX ENERGY, LLC",MADISON,Oil,"SUBCLARKSVILLE, WOODBINE"
000115783,22737594,08,40170,"HOOPSNAKE ""23""",2,"SPRABERRY (TREND AREA)","SM ENERGY COMPANY",HOWARD,Oil,"SAN ANDRES/GLOREITA"
000115784,11533763,8A,61609,"NORTHEAST ACKERLY DEAN UNIT",110,"ACKERLY (DEAN SAND)","TEXLAND PETROLEUM, L.P.",DAWSON,Oil,DEAN
000115785,11533764,8A,61609,"NORTHEAST ACKERLY DEAN UNIT",111,"ACKERLY (DEAN SAND)","TEXLAND PETROLEUM, L.P.",DAWSON,Oil,DEAN
000115786,42931284,7B,30458,"ELLIOTT 27",1,"STEPHENS COUNTY REGULAR","RUSK CO. WELL SERVICE CO., INC.",STEPHENS,Oil,CADDO
000115787,21903250,8A,18244,"CENTRAL MALLET UNIT",57,SLAUGHTER,"OCCIDENTAL PERMIAN LTD.",HOCKLEY,Oil,"SAN ANDRES"
000115788,21900821,8A,18244,"CENTRAL MALLET UNIT",164,SLAUGHTER,"OCCIDENTAL PERMIAN LTD.",HOCKLEY,Oil,"SAN ANDRES"
000115789,21930090,8A,18244,"CENTRAL MALLET UNIT",194,SLAUGHTER,"OCCIDENTAL PERMIAN LTD.",HOCKLEY,Oil,"SAN ANDRES"
000115790,21930097,8A,18244,"CENTRAL MALLET UNIT",195,SLAUGHTER,"OCCIDENTAL PERMIAN LTD.",HOCKLEY,Oil,"SAN ANDRES"
000115791,21930094,8A,18244,"CENTRAL MALLET UNIT",198,SLAUGHTER,"OCCIDENTAL PERMIAN LTD.",HOCKLEY,Oil,"SAN ANDRES"
000115792,21930127,8A,18244,"CENTRAL MALLET UNIT",217,SLAUGHTER,"OCCIDENTAL PERMIAN LTD.",HOCKLEY,Oil,"SAN ANDRES"
000115793,26331571,8A,67572,"STEWART ""A""",3,"S-M-S (CANYON SAND)",PETEX,KENT,Oil,"CANYON / CISCO / WOLFCAMP"
000115794,50341528,09,29703,IMU,A638P,"I.M.U. (CADDO CONS.)","RIDGE OIL COMPANY",YOUNG,Oil,CADDO
000115795,34934614,05,175549,"FORTSON, JAMES E. ET AL",1,"O. L. HILL (WOODBINE)","GEMINI ENERGY, INC.",NAVARRO,Gas,WOODBINE
000115796,17300000,08,000000,,2,,,GLASSCOCK,,"SAN ANDRES/CLEAR FORK"
000115797,47943934,01,284089,"M & M MINERALS CORP. A",7,"ENCINAL (5800)","LEWIS PETRO PROPERTIES, INC.",WEBB,Gas,WILCOX
000115798,44130796,7B,13216,"COMPTON E.R.",1,"MICOAU (FLIPPEN)","OGDEN RESOURCES CORPORATION",TAYLOR,Oil,FLIPPEN
000115799,23933860,02,11296,"WEST RANCH (41-A/98-A CONS) UNIT",1088,"WEST RANCH (41-A & 98-A CONS.)","HILCORP ENERGY COMPANY",JACKSON,Oil,FRIO
000115800,21930215,8A,18244,"CENTRAL MALLET UNIT",229,SLAUGHTER,"OCCIDENTAL PERMIAN LTD.",HOCKLEY,Oil,"SAN ANDRES"
000115801,21935777,8A,18244,"CENTRAL MALLET UNIT",361,SLAUGHTER,"OCCIDENTAL PERMIAN LTD.",HOCKLEY,Oil,"SAN ANDRES"
000115802,21935778,8A,18244,"CENTRAL MALLET UNIT",362,SLAUGHTER,"OCCIDENTAL PERMIAN LTD.",HOCKLEY,Oil,"SAN ANDRES"
000115803,21936423,8A,18244,"CENTRAL MALLET UNIT",368,SLAUGHTER,"OCCIDENTAL PERMIAN LTD.",HOCKLEY,Oil,"SAN ANDRES"
000115804,21936485,8A,18244,"CENTRAL MALLET UNIT",374,SLAUGHTER,"OCCIDENTAL PERMIAN LTD.",HOCKLEY,Oil,"SAN ANDRES"
000115805,21936578,8A,18244,"CENTRAL MALLET UNIT",384,SLAUGHTER,"OCCIDENTAL PERMIAN LTD.",HOCKLEY,Oil,"SAN ANDRES"
000115806,46934367,02,282838,MCFADDIN,199D,"MCFADDIN (3600)","FROSTWOOD ENERGY, LLC",VICTORIA,Gas,CATAHOULA
000115807,32941971,08,47759,HMW,3,"SPRABERRY (TREND AREA)","DIAMONDBACK E&P LLC",MIDLAND,Oil,ELLENBURGER
000115808,13543539,08,02100,"GOLDSMITH, C. A., ETAL",652AW,"GOLDSMITH (CLEAR FORK)","XTO ENERGY INC.",ECTOR,Oil,"CLEAR FORK"
000115809,03332432,08,49611,DRAGON,1D,"SPRABERRY (TREND AREA)","SURGE OPERATING, LLC",BORDEN,Oil,"PENNSYLVANIAN, MISSISSIPPIAN, ELLENBURGER"
000115810,41535330,8A,03137,"SACROC UNIT",14812H,KELLY-SNYDER,"KINDER MORGAN PRODUCTION CO LLC",SCURRY,Oil,"CISCO, CANYON REEF"
000115811,22736810,08,42515,"HOMAN -29-",1,"SPRABERRY (TREND AREA)","ENERGEN RESOURCES CORPORATION",HOWARD,Oil,"SAN ANDRES/CLEAR FORK"
000115812,50136895,8A,70661,"JAMESON SWD",1,"PRENTICE (6700)","YUMA E & P COMPANY, INC.",YOAKUM,Oil,"WICHITA-ALBANY, LEONARD, WOLFCAMP, PENNSYLVANIAN, STRAWN, MISSISSIPPIAN, DEVONIAN, DEVONIAN-SILURIAN, FUSSELMAN"
000115820,37139550,08,000000,,1D,,,PECOS,,"BELL CANYON, CHERRY CANYON"
000115821,48733122,09,33595,"WAGGONER B",2,"WILBARGER COUNTY REGULAR","DRY FORK PRODUCTION CO., LLC",WILBARGER,Oil,CISCO
000115822,32900000,08,000000,,1,,,MIDLAND,,"SAN ANDRES"
000115823,23933794,02,11296,"WEST RANCH (41-A/98-A CONS) UNIT",1048,"WEST RANCH (41-A & 98-A CONS.)","HILCORP ENERGY COMPANY",JACKSON,Oil,FRIO
000115824,23933797,02,11296,"WEST RANCH (41-A/98-A CONS) UNIT",1047,"WEST RANCH (41-A & 98-A CONS.)","HILCORP ENERGY COMPANY",JACKSON,Oil,FRIO
000115825,23933793,02,11296,"WEST RANCH (41-A/98-A CONS) UNIT",1105,"WEST RANCH (41-A & 98-A CONS.)","HILCORP ENERGY COMPANY",JACKSON,Oil,FRIO
000115826,50134885,8A,000000,,1W,,,YOAKUM,,"MISSISSIPPIAN, DEVONIAN-SILURIAN, FUSSELMAN, ELLENBURGER"
000115827,47537498,08,50265,"KOEHN SWD",2,"MARSTON RANCH (DEVONIAN)","GOODNIGHT MIDSTREAM PERMIAN, LLC",WARD,Oil,"DEVONIAN - SILURIAN"
000115828,48545035,09,31578,"WAGGONER, W. T. -A- NCT-3",804,"WICHITA COUNTY (SPECIAL)","LAYLINE ENERGY I LLC",WICHITA,Oil,CANYON
000115829,38339971,7C,19922,"ARNETT 44",1D,"LIN (WOLFCAMP)","CALLON PETROLEUM OPERATING CO",REAGAN,Oil,ELLENBURGER
000115830,30133574,08,000000,,1,,,LOVING,,"DELAWARE/BELL CANYON/CHERRY CANYON"
000115831,22700000,08,000000,,1SW,,,HOWARD,,ELLENBURGER
000115832,09733264,09,27050,HAYES,12,"COOKE COUNTY REGULAR","CR REED PRODUCTION, INC.",COOKE,Oil,ELLENBURGER
000115833,40181783,6E,06918,"BARTON, TOM",6,"EAST TEXAS","LOG OPERATING, LLC",RUSK,Oil,WOODBINE
000115834,38936311,08,49596,CLYDESDALE,01SW,"PHANTOM (WOLFCAMP)","CAPROCK FIELD SERVICES LLC",REEVES,Oil,"BELL CANYON, CHERRY CANYON"
000115835,41332999,7C,18021,"THORNBURG 27",13,"FORT MCKAVITT (LIME 4150)","BOAZ ENERGY II OPERATING, LLC",SCHLEICHER,Oil,STRAWN
000115836,47537479,08,50265,"KOEHN SWD",1,"MARSTON RANCH (DEVONIAN)","GOODNIGHT MIDSTREAM PERMIAN, LLC",WARD,Oil,DEVONIAN-SILURIAN
000115837,47500000,08,000000,,4,,,WARD,,DEVONIAN-SILURIAN
000115838,47500000,08,000000,,3,,,WARD,,DEVONIAN-SILURIAN
000115839,38900000,08,000000,,1,,,REEVES,,"DELAWARE MOUNTAIN GROUP"
000115840,16538627,08,49541,"JOHNSON 8",1D,"BLOCK A-34 (SAN ANDRES)","RING ENERGY, INC.",GAINES,Oil,"LOWER GLORIETA/CLEAR FORK/SICHITA ALBANY"
000115841,41535311,8A,03137,"SACROC UNIT",325-6A,KELLY-SNYDER,"KINDER MORGAN PRODUCTION CO LLC",SCURRY,Oil,"CISCO/CANYON REEF"
000115842,10933170,08,000000,,1,,,CULBERSON,,"BELL CANYON/CHERRY CANYON/BRUSHY CANYON"
000115843,50536604,04,06058,"JENNINGS, J. D.",504,"JENNINGS, W. (QUEEN CITY NO 2)","KOVAR OPERATING, LLC",ZAPATA,Oil,"QUEEN CITY NO. 2"
000115844,22739417,08,50014,"NEWTON 10 SWD",1,"SPRABERRY (TREND AREA)","H2O MIDSTREAM PERMIAN LLC",HOWARD,Oil,ELLENBURGER
000115845,16537644,8A,000000,,1SW,,,GAINES,,"SAN ANDRES"
