,CauseofLoss,CommNbr,County,DateofLoss,District,Facility,FieldNumber,FieldNumber.1,Form Number,Gasident,GrossLoss,Into_Water,LeaseName,LeaseNumber,Location,MasterYear,Net Loss,OperatorNumber,Recovered,Remarks,Remedy,TypeLiquid,Type_Company_Cd,Unique_ID,Water,WaterName
10,Act of God,0.0,GAINES,1/8/2010,8A,Tank Battery,WASSON,,643.0,0.0,10.0,,DENVER UNIT,18910.0,DENVER UNIT,2010.0,1.0,OCCIDENTAL PERMIAN LTD.,9.0,FREEZING CONDITIONS CAUSED LINE TO FAIL. VACUUMED & REMEDIATING.,Other,Crude,Producer,,None,
11,Equipment Failure,0.0,UPTON,1/8/2010,7C,Tank Battery,BENEDUM (FUSSELMAN),,91.0,0.0,66.0,,"NEAL ""B""",7664.0,"SEC. 8, GC & SF RR CO.",2010.0,26.0,BP AMERICA PRODUCTION COMPANY,40.0,VACUUMED FREE FLUID AND REMEDIATION IN PROGRESS.,Other,Crude,Producer,,None,NONE
12,Equipment Failure,0.0,CROCKETT,1/8/2010,7C,Tank Battery,OZONA (CANYON SAND),,14.0,0.0,175.0,,COUCH 29,12810.0,"SEC. 29 BLK. QR, ELRR CO.",2010.0,125.0,"DEVON ENERGY PRODUCTION CO, L.P.",50.0,SOIL EXCAVATED AND MIXED W/CLEAN. REMEDIATION IS IN PROGRESS,Other,Crude,Producer,,None,
13,Corrosion - Rust,0.0,STEPHENS,1/8/2010,7B,Pipe Line,STEPHENS COUNTY REGULAR,,2.0,0.0,161.0,,ELIASVILLE (CADDO) UNIT,13213.0,WATKINS NOBLE SURVEY A-1337,2010.0,20.0,"BASA RESOURCES, INC.",141.0,REPLACED STEEL BOLTS ON SLEEVE. REMEDIATED SOIL.,Repaired Existing Equipment,Crude,Producer,,None,
14,Equipment Failure,0.0,WINKLER,1/9/2010,8,Flow Line,TWO GEORGES (BONE SPRING),,617.0,0.0,6.0,,UNIVERSITY 20-26,39556.0,"SEC. 26, BLK 20, UTS SURVEY",2010.0,1.0,OXY USA INC.,5.0,WILL REMOVE AND REMEDIATE SOIL AND REPLACE.,Other,Crude,Producer,,None,
15,Equipment Failure,0.0,HARRISON,1/9/2010,6,Pipe Line,"WOODLAWN, SW. (COTTON VALLEY)",,25.0,219311.0,53.0,,"YATES, G.H.",0.0,"FOREST TEXAS GATHERING COMPANY, WOODLAWN, SW CPD (DRIP STATION)",2010.0,33.0,FOREST OIL CORPORATION,20.0,VACUUMED FREE FLUID AND REMEDIATED SOIL.,Other,Gas Well Liquid,Producer,,None,
16,Equipment Failure,0.0,DE WITT,1/9/2010,2,Tank Battery,"GUN POINT (WILCOX LOWER, GRAY)",,8.0,119308.0,25.0,,"BLAIN, LOVEL A III",0.0,STOCK TANKS AT GUN POINT DRIP STATION,2010.0,0.0,APACHE CORPORATION,25.0,VACUUMED FREE FLUID AND ON SITE REMEDIATION IN PROCESS.,Other,Crude,Producer,,None,
17,Equipment Failure,0.0,WHEELER,1/10/2010,10,Tank Battery,STILES RANCH (GRANITE WASH CONS),,746.0,200970.0,25.0,,ATHERTON,0.0,"SEC.1, BLK A3, H&TC RR CO., A-195, 527 FNL & 1950 FWL",2010.0,10.0,"CHESAPEAKE OPERATING, INC.",15.0,VACUUMED FREE FLUID. PREFEX ENERGY TO REMEDIATE.,Other,Crude,Producer,,None,
18,Equipment Failure,0.0,JACK,1/10/2010,9,Tank Battery,JACK COUNTY REGULAR,,22.0,0.0,160.0,,ISAMINGER,11439.0,"IRR CO, A-966",2010.0,18.0,BRIDWELL OIL CO.,142.0,REMOVED CONTAMINATED SOIL AND REPLACED WITH CLEAN SOIL,Other,Crude,Producer,,None,
19,Equipment Failure,0.0,RUSK,1/10/2010,6,Tank Battery,RODESSA (HILL 5800),,10.0,142983.0,32.0,,GIPSON,0.0,"JACOBS ESTATE GAS UNIT WELL A, B. COON A-204",2010.0,32.0,"WILSON RESOURCES, INC.",0.0,TITANIUM ENVIRONMENTAL TO REMEDIATE.,Other,Gas Well Liquid,Producer,,None,
20,Theft,0.0,LIBERTY,1/10/2010,3,Tank Battery,"RICH RANCH, N. (12270)",,5.0,210877.0,175.0,,HOWELL,0.0,"GC & SF RR CO 25, A-464",2010.0,175.0,"CRIMSON EXPLORATION OPER., INC.",0.0,CHANGED LOCKS AT BATTERY,Other,Crude,Producer,,None,
21,Act of God,0.0,WHARTON,1/10/2010,3,Tank Battery,PURE GUTS (YEGUA),,227.0,196204.0,141.0,,RICHARDS,0.0,"RICHARDS 2A, JOSA MARIA DEFEA",2010.0,0.0,"CRIMSON EXPLORATION OPER., INC.",141.0,FREEZING WEATHER CAUSED VALVE TO RUPTURE.SOIL REMEDIATED.,Other,Crude,Producer,,None,
22,Act of God,0.0,SUTTON,1/10/2010,7C,Flow Line,SAWYER (CANYON),,1053.0,80621.0,20.0,,"FIELDS ""51""",0.0,SEC.51 BLK. B HE& WT SURVEY,2010.0,1.0,NABORS WELL SERVICES LTD.,19.0,LINES FROZE. REMEDIATION PLAN IN PROGRESS.,Other,Gas Well Liquid,Other,,None,
23,Corrosion - Rust,0.0,CROSBY,1/10/2010,8A,Tank Battery,HOOPLE (CLEAR FORK),,1004.0,0.0,150.0,,PT,68089.0,SEC. 1150 K. AYCOCK SVY.,2010.0,150.0,CAPROCK INVESTMENTS AND ENERGY,0.0,REPLACED RUSTED OUT TANK BATTERY.,Repaired Existing Equipment,Crude,Producer,,None,
24,Controlled,0.0,WHEELER,1/10/2010,10,Flow Line,STILES RANCH (GRANITE WASH CONS),,1164.0,200970.0,22.0,,ATHERTON,0.0,"SEC.1, BLK A3, H&TC RR CO., A-195, 527FNL & 1950 FWL",2010.0,3.0,"CHESAPEAKE OPERATING, INC.",19.0,VACUUMED FREE FLUID AND SOIL REMEDIATION IN PROGRESS,Other,Products,Producer,,None,
25,Well Blow Out,0.0,ANDREWS,1/11/2010,8,Tank Battery,UNIVERSITY BLOCK 9 (DEVONIAN),,622.0,0.0,40.0,,UNIVERSITY BLOCK 9,39152.0,"BLOCK 9, SEC 10, UNIVERSITY LANDS SURVEY",2010.0,10.0,XTO ENERGY INC.,30.0,REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
26,Equipment Failure,0.0,CROCKETT,1/11/2010,7C,Tank Battery,DAVIDSON RANCH (PENN. 7890),,63.0,197600.0,121.0,,"HENDERSON, JOHN LEE JR.",0.0,30.585617DEG. -101.053617DEG.,2010.0,121.0,"PIONEER NATURAL RES. USA, INC.",0.0,SOIL HAS BEEN EXCAVATED AND BLENDED. SOIL WAS REMEDIATED.,Other,Gas Well Liquid,Producer,,None,
27,Equipment Failure,0.0,SUTTON,1/11/2010,7C,Flow Line,SAWYER (CANYON),,16.0,80621.0,70.0,,"FIELDS ""51""",0.0,SEC 51 BLK B HE & WT SURVEY,2010.0,1.0,NABORS WELL SERVICES LTD.,69.0,RECOVERED FREE FLUID AND REMEDIATION IN PROGRESS,Other,Crude,Other,,None,
28,Equipment Failure,0.0,WISE,1/11/2010,9,Tank Battery,"NEWARK, EAST (BARNETT SHALE)",,48.0,238894.0,23.0,,"DAVIS, J.",0.0,"WOOD, S A-900",2010.0,7.0,XTO ENERGY INC.,16.0,OPERATOR REMOVED FREE FLUID AND REMEDIATED SOIL.,Other,Gas Well Liquid,Producer,,None,
29,Act of God,0.0,HEMPHILL,1/11/2010,10,Flow Line,BUFFALO WALLOW (GRANITE WASH),,1163.0,200249.0,40.0,,MEEK 68,0.0,"SEC.68, BLOCK MI H&GN RR CO. IG. H GRACEY",2010.0,1.0,NOBLE ENERGY INC,39.0,LOAD LINR FROZE & BUSTED.SOIL REMEDIATION PLAN IN PROGRESS.,Other,Gas Well Liquid,Producer,,None,
30,Equipment Failure,0.0,BORDEN,1/12/2010,8A,Tank Battery,"MYRTLE, N. (WOLFCAMP)",,613.0,0.0,140.0,,"JONES, DON A.",67232.0,330' FSL 330'FEL SEC. 479 BLK 97 H&TC RR CO. SURVEY,2010.0,10.0,"HENDRIX, JOHN H. CORPORATION",130.0,OILY SOIL REMOVED FOR REMEDIATION.,Other,Crude,Producer,,None,
31,Theft,0.0,GAINES,1/12/2010,8A,Tank Battery,PALMA (CLEARFORK),,47.0,0.0,114.0,,"BRUMFIELD, J. A.",67621.0,"SEC. 481, BLOCK G, CCSD & RGNG RR CO. SURVEY",2010.0,114.0,AVRA OIL COMPANY,0.0,THEFT,Other,Crude,Producer,,None,
32,Equipment Failure,0.0,ANDREWS,1/12/2010,8,Tank Battery,FUHRMAN-MASCHO,,1063.0,0.0,20.0,,WEST FUHRMAN-MASCHO UNIT,21220.0,"SEC. 13, BLK. A-42 PSL SURVEY.",2010.0,7.0,ENERGEN RESOURCES CORPORATION,13.0,REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
33,Equipment Failure,0.0,DAWSON,1/12/2010,8A,Flow Line,WELCH,,1076.0,0.0,200.0,,SOUTH WELCH UNIT,60337.0,S WELCH UNIT TR. 18,2010.0,20.0,OXY USA WTP LP,180.0,SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
34,Equipment Failure,0.0,HEMPHILL,1/12/2010,10,Tank Battery,HEMPHILL (DOUGLAS),,1162.0,168452.0,138.0,,DEREK 12,0.0,"SEC. 12, BLK A-1 H&GN CO/H M RAMP",2010.0,138.0,CIMAREX ENERGY CO.,0.0,SOIL REMEDIATION PLAN IN PROGRESS,Other,Gas Well Liquid,Producer,,None,
35,Equipment Failure,0.0,CROCKETT,1/12/2010,9,Tank Battery,"NEWARK, EAST (BARNETT SHALE)",,873.0,249143.0,35.0,,WINSTON,0.0,WINSTON RANCH INTERSECTION OF KELLY RD. AND BEAR CREEK RD.,2010.0,10.0,TALON OIL & GAS LLC,25.0,VACUUMED FREE FLUID.SOIL EXCAVATED AND GATOR WAS USED TO REMEDIATE,Other,Crude,Transporter,,None,
36,Human Error - Other,0.0,GLASSCOCK,1/13/2010,8,Tank Battery,NO FIELD NAME,,612.0,0.0,100.0,,PHILLIPS -A-,0.0,"LAT. 31.9422, LONG. -101.6575",2010.0,50.0,"DCP MIDSTREAM, LP",50.0,THIRD PARTY PRODUCER WAS CONTACTED AND PIPELINE SHUT DOWN.,Other,Crude,Other,,None,
37,Corrosion - Rust,0.0,WARD,1/13/2010,8,Pipe Line,NO FIELD NAME,,610.0,0.0,65.0,,"HOWARD, H. B.",0.0,"SEC. 10, BLK 16, UNIVERSITY LANDS",2010.0,25.0,CENTURION PIPELINE L.P.,40.0,BLENDED WITH CLEAN SOIL TO LESS THAN 1%,Other,Crude,Transporter,,None,
38,Equipment Failure,0.0,UPTON,1/13/2010,7C,Tank Battery,SPRABERRY (TREND AREA),,62.0,0.0,150.0,,JESSICA13SW,16093.0,SEC. 13 BLK Y GC&SF RR CO.,2010.0,60.0,COG OPERATING LLC,90.0,VACUUMED FREE FLUID AND REMEDIATED SOIL IN BERM.,Other,Crude,Producer,,None,
39,Equipment Failure,0.0,FAYETTE,1/13/2010,3,Tank Battery,"GIDDINGS (AUSTIN CHALK, GAS)",,23.0,178016.0,10.0,,KOENIG,0.0,JOHN SHAW A-92,2010.0,10.0,"ENERVEST OPERATING, L.L.C.",0.0,REMEDIATION PLAN IN PROGRESS.,Other,Gas Well Liquid,Producer,,None,
40,Equipment Failure,0.0,HEMPHILL,1/13/2010,10,Tank Battery,"BUFFALO WALLOW, N(MORROW,LO)",,1161.0,51940.0,25.0,,FLOWERS -A-,0.0,"SECTION 27, BLOCK A-1 H&G N. RR CO.",2010.0,4.0,NOBLE ENERGY INC,21.0,SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
41,Vandalism,0.0,ROBERTS,1/14/2010,10,Other,"MENDOTA, NW. (GRANITE WASH)",,747.0,255679.0,145.0,,"WATERFIELD ""D""",0.0,"35DEG. 56'32.3"", 100 DEG.",2010.0,25.0,UNIT PETROLEUM COMPANY,120.0,VANDALIZED FRAC TANK.TANK REMOVED.REMEDIATION PLAN IN PROGRESS,Other,Gas Well Liquid,Producer,,None,
42,Equipment Failure,0.0,REAGAN,1/14/2010,7C,Flow Line,SPRABERRY (TREND AREA),,17.0,0.0,15.0,,UNIVERSITY -6D-,16156.0,"SEC 6, BLK 9, UNIVERSITY LAND SURVEY",2010.0,15.0,"MARINER ENERGY, INC.",0.0,SOIL REMEDIATION WAS COMPLETED.,Other,Crude,Producer,,None,
43,Equipment Failure,0.0,FAYETTE,1/14/2010,9,Tank Battery,"NEWARK, EAST (BARNETT SHALE)",,24.0,248254.0,30.0,,PILOT,0.0,R. SHERMAN A-394,2010.0,5.0,"ENERVEST OPERATING, L.L.C.",25.0,"VACUUMED FREE LIQUIDS, REMEDIATED AREA.",Other,Crude,Producer,,None,
44,Act of God,0.0,KARNES,1/14/2010,2,Tank Battery,LABUS (AUSTIN),,7.0,0.0,23.0,,"YANTA, EDWIN",9259.0,"PRESIDO IRRIGATION CO, SURVEY A-232",2010.0,23.0,"BLACKBRUSH O & G, INC.",0.0,LIGHTNING BURNED TANK BATTERY. ALL FLUID WAS CONTAINED IN FIREWALL,Other,Crude,Producer,,None,
45,Equipment Failure,0.0,SAN PATRICIO,1/14/2010,4,Tank Battery,MIDWAY,,6.0,0.0,201.0,,HUTTO,12579.0,SAN PATRICIO COUNTY SCHOOL A-235,2010.0,1.0,GOODRICH PETROLEUM COMPANY,200.0,RECOVERED FREE FLUID AND REMEDIATION PLAN IN PRGRESS,Other,Crude,Producer,,None,
46,Equipment Failure,0.0,SAN PATRICIO,1/14/2010,4,Tank Battery,MIDWAY,,1.0,0.0,200.0,,HUTTO,12579.0,SAN PATRICIO COUNTY SCHOOL A-235,2010.0,1.0,GOODRICH PETROLEUM COMPANY,199.0,VACUUMED OIL SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
47,Corrosion - Rust,0.0,COCHRAN,1/15/2010,8A,Pipe Line,NO FIELD NAME,,620.0,0.0,5.0,,CONE,0.0,"LEAGUE 134, SECTION 19",2010.0,0.0,TARGA MIDSTREAM SERVICES LP,5.0,EXCAVATED CONTAMINATED SOIL.,Other,Gas Well Liquid,Other,,None,
48,Equipment Failure,0.0,UPTON,1/15/2010,7C,Tank Battery,SPRABERRY (TREND AREA),,15.0,0.0,120.0,,GREATHOUSE -A-,1607.0,S HWY,2010.0,100.0,ENDEAVOR ENERGY RESOURCES L.P.,20.0,SOIL REMEDIATION STILL IN PROGRESS,Other,Crude,Producer,,None,
49,Equipment Failure,0.0,GARZA,1/15/2010,8A,Flow Line,DORWARD,,785.0,0.0,7.0,,"ALEXANDER, BIRDIE R.",10175.0,"21.3 MI. NW OF SNYDER HWY 84 TURN N1.1MI.,L.8MI,L.4M",2010.0,7.0,ENDEAVOR ENERGY RESOURCES L.P.,0.0,SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
50,Equipment Failure,0.0,GAINES,1/16/2010,8A,Tank Battery,WASSON 72,,671.0,0.0,10.0,,WASSON SOUTH CLEARFORK UNIT,62865.0,SOUTH WASSON CLEARFORK UNIT,2010.0,1.0,OCCIDENTAL PERMIAN LTD.,9.0,VACUUMED FREE FLUID AND REMEDIATED AREA.,Other,Crude,Producer,,None,
51,Equipment Failure,0.0,WHEELER,1/16/2010,10,Tank Battery,STILES RANCH (GRANITE WASH CONS),,748.0,224877.0,13.0,,STILES 1,0.0,STILES A#4-1 SEC A AB&M SVY,2010.0,1.0,APACHE CORPORATION,12.0,SOIL REMEDIATION PLAN IN PROGRESS,Other,Crude,Producer,,None,
52,Equipment Failure,0.0,WEBB,1/16/2010,4,Tank Battery,GATES RANCH (EAGLE FORD SHALE),,1109.0,258921.0,10.0,,GATES 05-D,0.0,2182 JOAQUIN GALAN GRANT A-65,2010.0,5.0,ROSETTA RESOURCES OPERATING LP,5.0,SOIL REMEDIATION PLAN IN PROGRESS.,Other,Products,Producer,,None,
53,Equipment Failure,0.0,ROBERTS,1/17/2010,10,Tank Battery,RED DEER CREEK (GRANITE WASH),,749.0,166104.0,75.0,,"OSBORNE, MARIAN 26",0.0,,2010.0,75.0,CIMAREX ENERGY CO. OF COLORADO,0.0,SOIL REMEDIATED INSIDE OF BERM.,Other,Gas Well Liquid,Producer,,None,
54,Equipment Failure,0.0,ECTOR,1/17/2010,8,Flow Line,GOLDSMITH (CLEAR FORK),,1071.0,0.0,8.0,,"CUMMINS, H. E.",11783.0,"T&P RR. CO./A JUDKINS SURVEY, BLK. 45, SEC. 34",2010.0,8.0,CITATION OIL & GAS CORP.,0.0,SOIL REMEDIATED.,Other,Crude,Producer,,None,
55,Equipment Failure,0.0,YOAKUM,1/18/2010,8A,Pipe Line,NO FIELD NAME,,646.0,0.0,9.0,,"SHOEMAKER, CLARA",0.0,"SEC. 598, BLOCK D, JOHN H GIBSON SURVEY",2010.0,6.0,TARGA MIDSTREAM SERVICES LP,3.0,72 YARDS OF SOIL REMOVED TO PERMITTED LANDFARM.,Other,Gas Well Liquid,Other,,None,
56,Corrosion - Rust,0.0,UPTON,1/18/2010,7C,Pipe Line,NO FIELD NAME,,230.0,0.0,15.0,,WILCOX,0.0,GPS N 31.13533 W 102.18744,2010.0,7.0,PLAINS PIPELINE L.P.,8.0,ALL SOIL CONTAINING 1% WEIGHT WILL BE REMEDIATE ON SITE,Other,Crude,Transporter,,None,
57,Equipment Failure,0.0,GARZA,1/19/2010,8A,Flow Line,DORWARD,,600.0,0.0,100.0,,FULLER DORWARD UNIT,65162.0,NW ON HWY 84 19.3 PAST SNYDER L GO .1 MI T R .4 MI,2010.0,100.0,ENDEAVOR ENERGY RESOURCES L.P.,0.0,INJECTION LINE LEAK - REMEDIATED,Other,Products,Producer,,None,
58,Theft,0.0,SMITH,1/19/2010,6,Tank Battery,MANZIEL BROS. (PETTIT),,4.0,0.0,145.0,,BYRD,10112.0,"SAMUEL EPPS SURVEY, A-335",2010.0,145.0,MAHFOUZ ENERGY COMPANY,0.0,REPORTED LOSS TO SHERIFF'S DEPT.,Other,Crude,Producer,,None,
59,Equipment Failure,0.0,TITUS,1/20/2010,6,Valve,TALCO,,680.0,0.0,3.0,,"BLACKBURN, LUCY",1659.0,LAT.N 33.20.997 W 095.09.091,2010.0,0.0,EXXON MOBIL CORPORATION,3.0,FREE FLUID RECOVERED AND SITE HAS BEEN REMEDIATED.,Other,Crude,Producer,,Other,UNNAMED
60,Act of God,0.0,REAGAN,1/20/2010,6,Tank Battery,WASKOM (COTTON VALLEY),,18.0,0.0,67.0,,SOUTHWESTERN MEDICAL FOUNDATION2,14393.0,H. ANDERSON SVY A-32,2010.0,67.0,"SAMSON LONE STAR, LLC",0.0,"LIGHTNING STRIKE, IMMEDIATE SOIL RECLAMATION.",Other,Crude,Producer,,None,
61,Vandalism,0.0,RUSK,1/20/2010,6,Tank Battery,"TRAWICK, N. (TRANSITION)",,874.0,0.0,10.0,,BARBARA OIL UNIT NO. 1,14751.0,MARIA FALCONA HEUJAS SURVEY A-14,2010.0,1.0,"SAMSON LONE STAR, LLC",9.0,VANDALISM.,Other,Crude,Producer,,Other,DITCH
62,Other,0.0,YOAKUM,1/21/2010,8A,Tank Battery,WASSON 72,,672.0,0.0,10.0,,YOAKUM WASSON CLEARFORK UNIT,63523.0,BATTERY 38 Y,2010.0,5.0,OCCIDENTAL PERMIAN LTD.,5.0,LIVESTOCK OPENED VALVE. VACUUMED FREE FLUID & REMEDIATED SOIL.,Other,Crude,Producer,,None,
63,Equipment Failure,0.0,WHARTON,1/21/2010,3,Flow Line,"MAGNET WITHERS (F-17, E.)",,21.0,0.0,25.0,,J.E. BROUSSARD,16071.0,J.E BROUSSARD PRODUCTION LINE,2010.0,0.0,APACHE CORPORATION,25.0,VACUUMED FREE FLUID AND USED ABSORBENT ON SOIL.,Other,Crude,Producer,,None,
64,Equipment Failure,0.0,GLASSCOCK,1/22/2010,8,Tank Battery,COBRA (WOLFCAMP),,615.0,0.0,20.0,,"POWELL, E. L.",29051.0,"SEC. 2, BLK. 35 T-3-S, T&P RR CO.",2010.0,12.0,OCCIDENTAL PERMIAN LTD.,8.0,SOIL REMEDIATION PLAN IN PROGRESS/,Other,Crude,Producer,,None,
65,Equipment Failure,0.0,PALO PINTO,1/22/2010,7B,Tank Battery,O'LAUGHLIN (2800),,74.0,113924.0,16.0,,DICKERSON,0.0,"SEC. 1779, SURVEY A-554 TE&L CO.",2010.0,4.0,"HITEX RESOURCES, LP",12.0,FREE FLUID RECOVERED. REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
66,Equipment Failure,0.0,WHARTON,1/22/2010,3,Tank Battery,"WITHERS, NORTH (-C- SAND)",,20.0,0.0,5.0,,"PIERCE ESTATES ""C""",24128.0,"PIERCE ""C"" TANK BATTERY",2010.0,0.0,APACHE CORPORATION,5.0,VACUUMED FREE FLUID. OIL ABSORBANT USED ON SOIL.,Other,Crude,Producer,,None,
67,Human Error - Other,0.0,WHEELER,1/24/2010,10,Tank Battery,MILLS RANCH (GRANITE WASH),,750.0,0.0,85.0,,MILLS RANCH & CO.,8052.0,"SEC. 17, BLK A7, H&GN SVY",2010.0,5.0,"SANGUINE GAS EXPLORATION, LLC",80.0,PREFEX ENERGY TO REMEDIATE.,Other,Gas Well Liquid,Producer,,None,
68,Equipment Failure,0.0,MARTIN,1/24/2010,8,Tank Battery,SPRABERRY (TREND AREA),,1060.0,0.0,13.0,,"RHODES, MYRTLE ""A""",36117.0,"MYRTLY RHODES ""A"" BATTERY",2010.0,1.0,MERIT ENERGY COMPANY,12.0,VACUUMED FREE FLUID. SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Producer,,None,
69,Equipment Failure,0.0,WHEELER,1/27/2010,10,Other,KIRSTEN (GRANITE WASH),,751.0,245051.0,20.0,,ZYBACH,0.0,"SEC. 14, BLK 2, CAMP CO. SCHOOL LANDS, 500 FSL& 550FWL",2010.0,5.0,"CHESAPEAKE OPERATING, INC.",15.0,FREE FLUID PICKED UP. COILS REPAIRED.PREFEX ENERGY TO REMEDIATE.,Repaired Existing Equipment,Crude,Producer,,None,
70,Company Human Error,0.0,PANOLA,1/27/2010,6,Tank Battery,CARTHAGE (COTTON VALLEY),,68.0,254274.0,169.0,,CAMERON UNIT 2,0.0,CAMERON GU 2-13 WELL LOCATION SITE APPRX. 10 MI N OF CARTHAGE,2010.0,39.0,"LACY OPERATIONS, LTD.",130.0,CREEK AND AFFECTED SOIL REMEDIATED.,Other,Gas Well Liquid,Producer,,Creek,MARTINCREEK
71,Equipment Failure,0.0,RUSK,1/27/2010,6E,Tank Battery,EAST TEXAS,,11.0,0.0,4.0,,MCPHERSON -B-,6391.0,MCPHERSON -B- RRC 06 CASTLEBERRY -6,2010.0,0.0,"BASA RESOURCES, INC.",4.0,VACUUMED FREE FLUID AND REMEDIATE AREA.,Other,Crude,Producer,,Other,MARSHYBOTTOM
72,Human Error - Other,0.0,HOCKLEY,1/27/2010,8A,Pipe Line,NO FIELD NAME,,110.0,0.0,700.0,,"COBB, TOM ""A""",0.0,"LBR 5, LGE 44, RAINS CSL",2010.0,50.0,CENTURION PIPELINE L.P.,650.0,BLENDED WITH CLEAN SOIL TO LESS THAN 1%,Other,Crude,Transporter,,None,
73,Act of God,0.0,CROCKETT,1/28/2010,7C,Tank Battery,CLARA COUCH,,59.0,0.0,42.0,,"HOOVER, A. C. (DENTLER)",324.0,SEC 13. BLK GC GC &SF,2010.0,42.0,CLARK OIL CO.,0.0,FIRE WAS PUT OUT BY FIRE DEPT. BATTERY STRUCK BY LIGHTNING.,Other,Crude,Producer,,None,
