MasterYear,Form Number,District,OperatorNumber,DateofLoss,Type_Company_Cd,County,LeaseNumber,Gasident,CommNbr,TypeLiquid,GrossLoss,Recovered,Net Loss,Facility,CauseofLoss,Remedy,Water,WaterName,Location,Remarks,LeaseName,FieldNumber,FieldNumber,Into_Water,Unique_ID
2014,1313,8,ENCANA OIL & GAS(USA) INC.,12/30/2014,Producer,MARTIN,37727,0,0,Crude,20,20,0,Tank Battery,Human Error - Other,Other,0,None,,"32.349937, -102.125402",REMEDIATION IN PROGRESS,DOROTHY FAYE -248-,SPRABERRY (TREND AREA),FALSE,63588
2014,1210,1,PROGENIES OPERATING LLC,12/30/2014,Producer,GONZALES,14245,0,0,Crude,15,10,5,Tank Battery,Equipment Failure,Other,0,None,,LOCATION PAD AT WELLHEAD,REMEDIATION IN PROCESS,NORDIA GRANDE,FIRST SHOT (AUSTIN CHALK),FALSE,63485
2014,1308,8,ENCANA OIL & GAS(USA) INC.,12/30/2014,Producer,MARTIN,39632,0,0,Crude,10,0,10,Tank Battery,Equipment Failure,Other,0,None,,"32.3227861, -102.1691306",REMEDIATION IN PROGRESS,DOROTHY FAYE -A319-,SPRABERRY (TREND AREA),FALSE,63583
2014,1200,8,HUNT OIL COMPANY,12/29/2014,Producer,MARTIN,22868,0,0,Crude,5,4,1,Tank Battery,Equipment Failure,Other,0,None,,"SEC 35, BLK 36, T-1-N, T&P RR","FREE STANDING OIL VACUUMED, AFFECTED SOIL IS BEING REMEDIATED",CARLILE,SPRABERRY (TREND AREA),FALSE,63475
2014,1368,9,LAYLINE ENERGY I LLC,12/29/2014,Producer,WICHITA,26757,0,0,Crude,3,3,0,Valve,Equipment Failure,Other,0,None,,SPRR CO #1 A-280,"CONTAINED LEAK, FLUSHED AREA, REMOVED STANDING FLUID & HAUL","BYWATERS, B. A.",WICHITA COUNTY (SPECIAL),FALSE,63643
2014,1194,4,"CANTERA OPERATING, LLC",12/29/2014,Producer,BROOKS,0,233203,0,Gas Well Liquid,9,3,6,Tank Battery,Equipment Failure,Other,0,None,,"ABS 214, GARCIA JOSE A M & A M",SOIL REMOVED & REPLACED WITH CLEAN TOP SOIL,MCGILL BROS.,KELSEY (VXKBG. CONSOL.),FALSE,63469
2014,1180,7B,D.K.D.,12/28/2014,Other,THROCKMORTON,0,0,0,Crude,10,10,0,Other,Equipment Failure,Repaired Existing Equipment,0,None,,"SEC 219, A-133, BBB&C RR CO SURVEY","REPAIRED GUN BARREL, CLEANED AND CUT LARGER BYPASS HOLES",HOSKINS EFS,NO FIELD NAME,FALSE,63455
2014,1341,7C,"DEVON ENERGY PRODUCTION CO, L.P.",12/28/2014,Producer,IRION,18043,0,0,Crude,60,55,5,Tank Battery,Equipment Failure,Other,0,None,,"S 75, BLK 1, T&TC RR CO",SPRAYED & WORKED CONTAMINATED SOIL WITH ENVIROCLEAN PRODUCT,DEVACA,LIN (WOLFCAMP),FALSE,63616
2014,1419,8A,OCCIDENTAL PERMIAN LTD.,12/27/2014,Producer,YOAKUM,18910,0,0,Crude,200,160,40,Tank Battery,Equipment Failure,Other,0,None,,"SEC 826, BLK D, JOHN H. GIBSON SUR",REMEDIATE THE SOIL,DENVER UNIT,WASSON,FALSE,63692
2014,1178,8,ENERGEN RESOURCES CORPORATION,12/27/2014,Producer,MARTIN,45332,0,0,Crude,15,13,2,Tank Battery,Company Human Error,Other,0,None,,"32.494145, -101.726917","SWITCHED STOCK TANK, PICKED UP FREE STANDING FLUID",ACKERLY STOKES 21,SPRABERRY (TREND AREA),FALSE,63453
2014,1231,7C,APACHE CORPORATION,12/26/2014,Producer,REAGAN,13471,0,0,Crude,70,35,35,Tank Battery,Equipment Failure,Other,0,None,,"31.44603, -101.67388",FREE FLUIDS WERE REMOVED AND SOILS WILL BE BLENDED,SAU 12-2,SPRABERRY (TREND AREA),FALSE,63506
2014,1340,7C,"LUCID ENERGY LOGISTICS, LLC",12/26/2014,Transporter,IRION,14918,0,0,Crude,60,41,19,Tank Battery,Equipment Failure,Other,0,None,,KETCHUM MT. EAST,REMOVAL OF ALL AFFECTED SOILS,KETCHUM MOUNTAIN EAST UNIT,KETCHUM MT. (CLEAR FORK),FALSE,63615
2014,1234,7C,"COMPASS ENERGY OPERATING, LLC",12/26/2014,Producer,IRION,18198,0,0,Crude,20,15,5,Tank Battery,Equipment Failure,Other,0,None,,"BLK 6, SUR 20, H&TC",AFFECTED SOIL REMEDIATED WITH FRESH SOIL,SUGG FARMAR '20',SUGG RANCH (CANYON),FALSE,63509
2014,1195,10,"CHAPARRAL ENERGY, L.L.C.",12/26/2014,Producer,OCHILTREE,9175,0,0,Crude,50,47,3,Other,Equipment Failure,Other,0,None,,BLK 43 A SEC 1095,"FLUID HAS BEEN SUCKED UP, EQUIP CLEANED OFF, SOIL HAS BEEN TILLED ",WHITEHEAD 1095,ALLEN-PARKER (MARMATON),FALSE,63470
2014,1223,8,APACHE CORPORATION,12/25/2014,Producer,GLASSCOCK,40704,0,0,Crude,8,5,3,Tank Battery,Corrosion - Rust,Other,0,None,,"31.84161, -101.50678",FREE FLUIDS REMOVED & SOIL WILL BE BLENDED,GLASS 15,JAILHOUSE (FUSSELMAN),FALSE,63498
2014,1177,8,"THOMPSON, J. CLEO",12/25/2014,Producer,ANDREWS,18729,0,0,Crude,200,100,100,Tank Battery,Equipment Failure,Other,0,None,,"32.434604, -102.570675",REMEDIAL MEASURES,W. MEANS /GRBG.-SAN ANDRES/ UNIT,MEANS,FALSE,63452
2014,1176,8,ENERGEN RESOURCES CORPORATION,12/25/2014,Producer,WARD,43750,0,0,Crude,12,10,2,Tank Battery,Equipment Failure,Repaired Existing Equipment,0,None,,"31.535248, -103.217427","REPAIRED PANEL, PICKED UP AS MUCH FREE STANDING FLUID",UNIVERSITY 43-18,TWO GEORGES (BONE SPRING),FALSE,63451
2014,1266,8,OCCIDENTAL PERMIAN LTD.,12/25/2014,Producer,WARD,4403,0,0,Crude,25,0,25,Tank Battery,Human Error - Other,Other,0,None,,"SEC 38, BLK A SUR G&MMB & A",REMOVE OILY SOIL TO CLEAN SOIL,SEALY SMITH FOUNDATION,MONAHANS (CLEAR FORK),FALSE,63541
2014,1183,8,ENERGEN RESOURCES CORPORATION,12/24/2014,Producer,REEVES,45423,0,0,Crude,52,50,2,Tank Battery,Equipment Failure,Other,0,None,,"31.353918, -103.430489",RESET THE CONTROL PANEL & PICKED UP FREE STANDING FLUID,MATADOR 6-33,PHANTOM (WOLFCAMP),FALSE,63458
2014,1339,7C,"PIONEER NATURAL RES. USA, INC.",12/24/2014,Producer,UPTON,16349,0,0,Crude,65,30,35,Tank Battery,Equipment Failure,Other,0,None,,"31.448781, 102.021408",REMEDIATION,XBC GIDDINGS ESTATE,SPRABERRY (TREND AREA),FALSE,63614
2014,1175,8,ANADARKO E&P ONSHORE LLC,12/24/2014,Transporter,REEVES,0,0,0,Gas Well Liquid,12,10,2,Pump Station or Terminal,Equipment Failure,Other,0,None,,"31.768981, -104.11135","FREE STANDING FLUIDS RECOVERED, EXCAVATED & HAULED OFF",XBC GIDDINGS ESTATE,NO FIELD NAME,FALSE,63450
2014,1336,8,ENCANA OIL & GAS(USA) INC.,12/23/2014,Producer,MIDLAND,35724,0,0,Crude,15,10,5,Tank Battery,Equipment Failure,Other,0,None,,"31.735581, -102.053249",ASSIGNED FOR CLEANUP TO CLOSURE,"BRAUN ""6""",SPRABERRY (TREND AREA),FALSE,63611
2014,1268,7C,"LAREDO PETROLEUM, INC.",12/23/2014,Producer,REAGAN,17013,0,0,Crude,20,0,20,Valve,Company Human Error,Other,0,None,,WELL #110A,"ABSORBENT SPREAD OVER IMPACTED LOC, BACKHOE PERFORMED BLENDING",HOLT-A-,SPRABERRY (TREND AREA),FALSE,63543
2014,1239,7C,"LAREDO PETROLEUM, INC.",12/22/2014,Producer,REAGAN,17044,0,0,Crude,22,20,2,Tank Battery,Equipment Failure,Other,0,None,,140/160 BATTERY,"FREE OIL RECOVERED, BACKHOE, BLENDING OF IMPACTED SOIL",VON GONTEN,SPRABERRY (TREND AREA),FALSE,63514
2014,1371,8,"PIONEER NATURAL RES. USA, INC.",12/22/2014,Producer,MIDLAND,26381,0,0,Crude,10,8,2,Tank Battery,Equipment Failure,Other,0,None,,"32.07354994, -102.0153768","VAC TRUCK, EXCAVATED & BLENDED W/FRESH SOIL & BIOREMEDIATION AID",MABEE FOUNDATION -D-,SPRABERRY (TREND AREA),FALSE,63646
2014,1235,7C,HUNT OIL COMPANY,12/22/2014,Producer,UPTON,12591,0,0,Crude,15,12,3,Flow Line,Equipment Failure,Other,0,None,,"SEC 78, BLK Y, GC & SF RR CO","STANDING OIL RECOVERED, SOIL BEING REMEDIATED IN PLACE","AMACKER-TIPPETT ""A"" POOL UNIT","AMACKER-TIPPETT, SW.(WOLFCAMP A)",FALSE,63510
2014,1237,7C,"AMERICAN ENERGY-PERM BASIN, LLC",12/22/2014,Producer,REAGAN,17852,0,0,Crude,7,0,7,Tank Battery,Equipment Failure,Other,0,None,,"SEC 7, BLK 7 UNIVERSITY LAND SURVEY",SHUT IN WELL AND BLED DOWN HEATER,UNIVERSITY LANDS 11-7,SHEEP MOUNTAIN (CONSOLIDATED),FALSE,63512
2014,1208,8,ENDEAVOR ENERGY RESOURCES L.P.,12/22/2014,Producer,ANDREWS,23379,0,0,Crude,20,15,5,Tank Battery,Equipment Failure,Other,0,None,,4 1/2 MILES NORTH OF ANDREWS TX,REMEDIATION IN PROGRESS,"FISHER, NOLA UNIT",SHAFTER LAKE (SAN ANDRES),FALSE,63483
2014,1312,8,ENCANA OIL & GAS(USA) INC.,12/22/2014,Producer,MARTIN,38475,0,0,Crude,200,190,10,Tank Battery,Equipment Failure,Other,0,None,,"32.316378, -102.153632",REMEDIATION IN PROGRESS,DOROTHY FAYE-K-,SPRABERRY (TREND AREA),FALSE,63587
2014,1148,7C,"ACME ENERGY SERVICES, INC.",12/22/2014,Producer,REAGAN,8793,0,0,Crude,10,5,5,Separator-Gun Barrel-Treater,Equipment Failure,Other,0,None,,"31.4899402, -101.6002223",REMEDIATION IN PROGRESS,STOUT,SPRABERRY (TREND AREA),FALSE,63423
2014,1201,8,"PIONEER NATURAL RES. USA, INC.",12/21/2014,Producer,MIDLAND,32657,0,0,Crude,15,13,2,Tank Battery,Equipment Failure,Other,0,None,,"31.909976, -102.088124","LIQUIDS REMOVED VACUUM TRUCK, EXCAVATED & BLENDED WITH FRESH SOIL ",MILLIKEN -B-,SPRABERRY (TREND AREA),FALSE,63476
2014,1147,7C,ENDEAVOR ENERGY RESOURCES L.P.,12/21/2014,Producer,REAGAN,14187,0,0,Crude,199,105,94,Tank Battery,Equipment Failure,Other,0,None,,"31.409644, -101.619341",REMEDIATION IN PROGRESS,HABY,SPRABERRY (TREND AREA),FALSE,63422
2014,1337,8,ENCANA OIL & GAS(USA) INC.,12/21/2014,Producer,MIDLAND,42808,0,0,Crude,15,0,15,Tank Battery,Equipment Failure,Other,0,None,,"31.677796, -101.50947",CLEANUP OF SITE,WILKINSON 31,SPRABERRY (TREND AREA),FALSE,63612
2014,1238,7C,CALLON PETROLEUM OPERATING CO,12/20/2014,Producer,REAGAN,18362,0,0,Crude,20,18,2,Tank Battery,Equipment Failure,Other,0,None,,"GC& SF RR CO/SAMMONS, JW, SEC 10, ABS 792","VACUUM TRUCK REMOVE STANDING FLUID, ON SITE REMEDIATION",PEMBROOK 1011 UNIT,LIN (WOLFCAMP),FALSE,63513
2014,1202,8,"PIONEER NATURAL RES. USA, INC.",12/20/2014,Producer,MIDLAND,31429,0,0,Crude,24,20,4,Tank Battery,Corrosion - Rust,Other,0,None,,"31.863012, -101.797229","LIQUIDS REMOVED, BIOLOGICAL REMEDIATION AID",MARION -A-,SPRABERRY (TREND AREA),FALSE,63477
2014,1211,9,"ENLINK MIDSTREAM SERVICES, LLC",12/19/2014,Other,WISE,0,0,0,Combined,45,0,45,Pipe Line,Corrosion - Rust,Other,0,None,,CR 4010,EXCAVATED CONTAMINATED SOIL,NORDIA GRANDE,NO FIELD NAME,FALSE,63486
2014,1184,8,XOG OPERATING LLC,12/19/2014,Producer,HOWARD,2900,0,0,Combined,5,4,1,Tank Battery,Equipment Failure,Other,0,None,,"SEC 2, BLK 30, T&P","VAC FREE LIQUIDS, WILL REMEDIATE","LANE, ROWENA","IATAN, EAST HOWARD",FALSE,63459
2014,1236,7C,"AMERICAN ENERGY-PERM BASIN, LLC",12/18/2014,Producer,REAGAN,18330,0,0,Crude,10,4,6,Tank Battery,Human Error - Other,Other,0,None,,"SEC 3, BLK 11, UNIVERSITY LAND SUR",STOPPED UNLOADING AND RECOVERED OIL,UNIVERSITY LANDS,BIG LAKE (SAN ANDRES),FALSE,63511
2014,1316,8,ENCANA OIL & GAS(USA) INC.,12/18/2014,Producer,MARTIN,35729,0,0,Crude,20,20,0,Separator-Gun Barrel-Treater,Equipment Failure,Other,0,None,,"32.250876, -102.001121",REMEDIATION IN PROGRESS,"WOODY ""36""",SPRABERRY (TREND AREA),FALSE,63591
2014,1140,8,BURLINGTON RES O & G CO-MIDLAND,12/18/2014,Producer,CRANE,5263,0,0,Crude,10,10,0,Tank Battery,Equipment Failure,Other,0,None,,"313214.22, 1023613.9","PICKED UP FLUIDS BY VACUUM TRUCK, CLEAN UP ON GOING","WADDELL, W. N., ETAL",SAND HILLS (MCKNIGHT),FALSE,63415
2014,1311,8,ENCANA OIL & GAS(USA) INC.,12/18/2014,Producer,HOWARD,43811,0,0,Crude,10,10,0,Tank Battery,Equipment Failure,Other,0,None,,"32.121407., -101.479899",REMEDIATION IN PROGRESS,GLASS SWD,"HOWARD GLASSCOCK (CLEAR FORK,MI)",FALSE,63586
2014,1188,1,"CHESAPEAKE OPERATING, L.L.C.",12/18/2014,Producer,DIMMIT,16327,0,0,Crude,20,18,2,Tank Battery,Equipment Failure,Other,0,None,,"BLK 2, SEC 0043, T&NO RR CO AB751","VAC TRUCK REMOVE FREE STANDING LIQUIDS, ON SITE REMEDIATION",FLAT CREEK UNIT C DIM,BRISCOE RANCH (EAGLEFORD),FALSE,63463
2014,1141,8,"BTA OIL PRODUCERS, LLC",12/17/2014,Producer,ANDREWS,16304,0,0,Crude,36,0,36,Tank Battery,Corrosion - Rust,Other,0,None,,"SEC 47, BLK 9, UNIVERSITY LANDS SURVEY","VAC TRUCK RECOVER FLUID, CONTAMINATED SOIL REMOVED, FRESH SOIL",UNIVERSITY -D-,"COWDEN, NORTH",FALSE,63416
2014,1139,8,ENTERPRISE CRUDE OIL LLC,12/17/2014,Transporter,MIDLAND,0,0,0,Crude,15,12,3,Pipe Line,Equipment Failure,Other,0,None,,"31.944544, -101.928147","VAC TRUCKS ON SITE, BACKHOE, STOCKPILE SATURATED SOILS, REMEDIATE ","MCKNIGHT, M.B.",NO FIELD NAME,FALSE,63414
2014,1153,7C,ENDEAVOR ENERGY RESOURCES L.P.,12/17/2014,Producer,IRION,18281,0,0,Crude,15,0,15,Tank Battery,Equipment Failure,Other,0,None,,"31.085317, -101.221194",REMEDIATION IN PROGRESS,UNIVERSITY UNIT '5-20-21',LIN (WOLFCAMP),FALSE,63428
2014,1259,4,"WALLIS ENERGY, INC.",12/17/2014,Producer,WEBB,11765,0,0,Crude,107,0,107,Tank Battery,Theft,Other,0,None,,"S. PEREZ A-2113, SURVEY 460",FILED WITH WEBB COUNTY SHERRIFF'S OFFICE,"PEREZ, AMADO ""C""",MALO SUENO (5550 SAND),FALSE,63534
2014,1261,4,"WALLIS ENERGY, INC.",12/17/2014,Producer,WEBB,7863,0,0,Crude,401,0,401,Tank Battery,Theft,Other,0,None,,"S. PEREZ A-2113, SURVEY 460",FILED WITH WEBB COUNTY SHERRIFF'S OFFICE,"PEREZ, AMADO",MALO SUENO (5550 SAND),FALSE,63536
2014,1263,4,"ALEGRE ENERGY, INC.",12/17/2014,Producer,WEBB,11774,0,0,Crude,327,0,327,Tank Battery,Theft,Other,0,None,,S. PEREZ A-2113 SURVEY 460,FILED WITH WEBB COUNTY SHERRIFF'S OFFICE,PEREZ,BUENO SUENO (QUEEN CITY),FALSE,63538
2014,1260,4,"WALLIS ENERGY, INC.",12/17/2014,Producer,WEBB,11764,0,0,Crude,206,0,206,Tank Battery,Theft,Other,0,None,,"J. POITEVENT A-1633, SURVEY 459",FILED WITH WEBB COUNTY SHERRIFF'S OFFICE,"PEREZ, AMADO ""B""",MALO SUENO (5550 SAND),FALSE,63535
2014,1145,8,CENTURION PIPELINE L.P.,12/16/2014,Transporter,GLASSCOCK,0,0,0,Crude,40,0,40,Pipe Line,Corrosion - Rust,Other,0,None,,"SEC 38, BLK 37, T4S, T&P RR CO",BLENDED WITH CLEAN SOIL,UNIVERSITY -D-,NO FIELD NAME,FALSE,63420
2014,1327,8,CENTURION PIPELINE L.P.,12/16/2014,Transporter,GLASSCOCK,0,0,0,Crude,40,0,40,Pipe Line,Corrosion - Rust,Other,0,None,,"SEC 38, BLK 37, T4S, T&PRRCO",BLENDED WITH CLEAN SOIL,DAVIS 34-169 UNIT 1,NO FIELD NAME,FALSE,63602
2014,1199,6,"SAMSON LONE STAR, LLC",12/16/2014,Producer,RUSK,0,198619,0,Gas Well Liquid,50,49,1,Tank Battery,Equipment Failure,Other,0,None,,D SIMPSON SVY A-37,"REMOVED FLUIDS, PUMPED TO GUNBARREL, WASHED DOWN TANKS, REMEDIATE ",HYLYN BROOKE SWD,"OAK HILL, S. (PETTIT)",FALSE,63474
2014,1136,8,ENERGEN RESOURCES CORPORATION,12/16/2014,Producer,WARD,41901,0,0,Crude,6,5,1,Tank Battery,Human Error - Other,Other,0,None,,"32.7809, -103.38104",OPEN VALVE & PICKED UP AS MUCH FLUID AS POSSIBLE,UNIVERSITY 11-19,TWO GEORGES (BONE SPRING),FALSE,63411
2014,1135,8,CALLON PETROLEUM OPERATING CO,12/16/2014,Producer,MIDLAND,38905,0,0,Crude,10,8,2,Valve,Equipment Failure,Other,0,None,,"SEC 10, BLK 40 T1S, T&P RR CO","VAC TRUCK, REALIGNMENT, REPLACE, ON SITE NATURAL BIO-REMEDIATION",CASSELMAN10,SPRABERRY (TREND AREA),FALSE,63410
2014,1143,8A,CENTURION PIPELINE L.P.,12/15/2014,Transporter,HOCKLEY,0,0,0,Crude,40,35,5,Pipe Line,Human Error - Other,Other,0,None,,"SEC 44, BLK 44, RAINS CSL",BLENDED WITH CLEAN SOIL,UNIVERSITY -D-,NO FIELD NAME,FALSE,63418
2014,1144,8,CENTURION PIPELINE L.P.,12/15/2014,Transporter,ANDREWS,0,0,0,Crude,12,0,12,Pipe Line,Corrosion - Rust,Other,0,None,,"SEC 10, BLK 13, UNIVERSITY LANDS",BLENDED WITH CLEAN SOIL,UNIVERSITY -D-,NO FIELD NAME,FALSE,63419
2014,1152,7C,DIAMONDBACK E&P LLC,12/15/2014,Producer,REAGAN,6376,0,0,Crude,147,90,57,Tank Battery,Equipment Failure,Other,0,None,,"31.410591, 101.584859","VACUUM TRUCKS RECOVER OIL, SITE CLEAN UP, REMEDIAL ACTIVITIES",HAM -B-,CALVIN (DEAN),FALSE,63427
2014,1353,8,OXY USA INC.,12/15/2014,Producer,WARD,44808,0,0,Crude,80,70,10,Tank Battery,Equipment Failure,Other,0,None,,"SEC 46, BLK 33, SURVEY H&TC RR CO/LEE, C.E.","RECOVER FLUIDS & REMEDIATE IN PLACE, SPILL REMAINED IN CONTAINMENT",MILNER 46 SWD,COLLIE (DELAWARE),FALSE,63628
2014,1317,8,ENCANA OIL & GAS(USA) INC.,12/15/2014,Producer,MARTIN,37748,0,0,Crude,45,45,0,Separator-Gun Barrel-Treater,Equipment Failure,Other,0,None,,"32.3331331, -102.1279334",REMEDIATION IN PROGRESS,DOROTHY FAYE-320-,SPRABERRY (TREND AREA),FALSE,63592
2014,1381,8,"PIEDRA OPERATING, LLC",12/14/2014,Transporter,MARTIN,0,0,0,Crude,10,10,0,Tank Battery,Equipment Failure,Other,0,None,,"32.36582, -102.119778",REMEDIATION IN PROGRESS,CENTRAL OWNBY UNIT,NO FIELD NAME,FALSE,63656
2014,1318,8,ENCANA OIL & GAS(USA) INC.,12/14/2014,Producer,MARTIN,44456,0,0,Crude,10,10,0,Tank Battery,Equipment Failure,Other,0,None,,"32.36582, -102.119778",REMEDIATION IN PROGRESS,HOLT RANCH '248',SPRABERRY (TREND AREA),FALSE,63593
2014,1151,7C,COG OPERATING LLC,12/14/2014,Producer,UPTON,17518,0,0,Crude,80,70,10,Flow Line,Equipment Failure,Other,0,None,,"SEC 41, BLK B, CCSD & RGNG RR CO , ABS 31",TO BE REMEDIATED & DIRT HAULED OFF & CLEAN UP SPRAY ON BUSHES,CASEY LYNN,SPRABERRY (TREND AREA),FALSE,63426
2014,1240,7C,"LAREDO PETROLEUM, INC.",12/13/2014,Producer,REAGAN,16507,0,0,Crude,25,17,8,Tank Battery,Equipment Failure,Other,0,None,,HEATER TREATER,"FREE OIL RECOVERED, BACKHOE PERFORMED BLENDING IMPACTED SOIL",SUGG-A-,SPRABERRY (TREND AREA),FALSE,63515
2014,1179,1,"SEA EAGLE FORD, LLC",12/13/2014,Producer,MCMULLEN,16335,0,0,Crude,40,40,0,Other,Equipment Failure,Other,0,None,,SURVEY HENSLEY G W ABS 234,"REMOVED & HAULED OFF, FRESH DIRT HAULED IN",HOSKINS EFS,EAGLEVILLE (EAGLE FORD-1),FALSE,63454
2014,1215,8,APACHE CORPORATION,12/13/2014,Producer,GLASSCOCK,44599,0,0,Crude,8,6,2,Tank Battery,Equipment Failure,Other,0,None,,"31.99117, -101.40324",FLUIDS REMOVED AND SOILS WILL BE BLENDED,LEE 59,SPRABERRY (TREND AREA),FALSE,63490
2014,1110,10,REGENCY FIELD SERVICES LLC,12/13/2014,Other,MOORE,0,0,0,Gas Well Liquid,7,0,7,Pipe Line,Corrosion - Rust,Other,0,None,,"SEC 174, BLK 3T, SUR TM&O RR CO",APPROPRIATE MEAS WERE TAKEN CONTAIN THE RELEASE & REDUCE IMPACT,J O PRICE TRUST 100 LIP,NO FIELD NAME,FALSE,63385
2014,1383,10,UNIT PETROLEUM COMPANY,12/13/2014,Producer,ROBERTS,0,278026,0,Combined,8,0,8,Tank Battery,Equipment Failure,Other,0,None,,"SEC 56, BLK 31, SUR H&GN RR CO, CARTER, G.V.","FENCED OFF, REMEDIATION","CHAMBERS, F.M.","MENDOTA, NW. (GRANITE WASH)",FALSE,63658
2014,1127,6,XTO ENERGY INC.,12/13/2014,Producer,TITUS,15058,0,0,Crude,20,15,5,Tank Battery,Equipment Failure,Other,0,None,,"33.349785, 095.037209","FLUID PICKED UP, FLUSHED AREA, EXCAVATED & LAND FARMED",TALCO EAST UNIT,TALCO,FALSE,63402
2014,1225,8,ENTERPRISE PRODUCTS OPERATINGLLC,12/12/2014,Transporter,WARD,0,0,0,Gas Well Liquid,5,0,5,Pipe Line,Corrosion - Rust,Other,0,None,,"12, 18, WL DOWNING",SOIL WILL BE EXCAVATED AND REMEDIATED ON SITE,SCHWARTZ SOUTH,NO FIELD NAME,FALSE,63500
2014,1187,9,BURLINGTON RESOURCES O & G CO LP,12/12/2014,Producer,DENTON,0,256143,0,Gas Well Liquid,7,7,0,Tank Battery,Corrosion - Rust,Other,0,None,,BLAKE ALISON 5H,HYDROVAC RECOVERED LIQUIDS,BLAKE-ALLISON,"NEWARK, EAST (BARNETT SHALE)",FALSE,63462
2014,1265,8,ENTERPRISE PRODUCTS OPERATINGLLC,12/12/2014,Transporter,WARD,0,0,0,Gas Well Liquid,5,0,5,Pipe Line,Corrosion - Rust,Other,0,None,,"SEC 12, BLK 18, WL DOWNING",REMEDIATION EFFORTS ON GOING,"TXL ""N"" 7-1",NO FIELD NAME,FALSE,63540
2014,1428,8,QEP ENERGY COMPANY,12/12/2014,Producer,MARTIN,39813,0,0,Crude,30,29,1,Tank Battery,Equipment Failure,Other,0,None,,"SEC 2, BLK HA, HA MOORE A-9","VAC TRUCK, FRESH WATER & SOAP USED TO FLUSH AREA, ADDITIONAL CLEAN",MABEE J,SPRABERRY (TREND AREA),FALSE,63701
